timestamp_utc,activity_label,consumption_m3_per_min,dishwasher_running,has_activity,occupied,total_m3,washing_machine_running
2022-11-09 00:00:00+0000,,,False,,True,469.281,False
2022-11-09 00:01:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:02:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:03:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:04:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:05:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:06:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:07:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:08:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:09:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:10:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:11:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:12:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:13:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:14:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:15:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:16:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:17:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:18:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:19:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:20:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:21:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:22:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:23:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:24:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:25:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:26:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:27:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:28:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:29:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:30:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:31:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:32:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:33:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:34:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:35:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:36:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:37:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:38:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:39:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:40:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:41:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:42:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:43:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:44:00+0000,,0.0,False,,True,469.281,False
2022-11-09 00:45:00+0000,,0.0,False,,True,469.281,False
